2024 National Employment Matrix title,2024 National Employment Matrix code,Occupation type,"Employment, 2024","Employment, 2034","Employment change, numeric, 2024–34","Employment change, percent, 2024–34","Labor force exit rate, 2024–34 annual average","Occupational transfer rate, 2024–34 annual average","Total occupational separations rate, 2024–34 annual average","Labor force exits, 2024–34 annual average","Occupational transfers, 2024–34 annual average","Total occupational separations, 2024–34 annual average","Occupational openings, 2024–34 annual average",
        First-line supervisors of gambling services workers,'39-1013,Line item,32.5,33.1,0.6,2.0,3.8,6.1,9.9,1.3,2.0,3.3,3.3,
"        First-line supervisors of entertainment and recreation workers, except gambling services",'39-1014,Line item,123.3,131.1,7.8,6.3,3.8,6.1,9.9,4.9,7.8,12.7,13.4,
      First-line supervisors of personal service workers,'39-1022,Line item,149.1,159.1,10.0,6.7,3.8,6.1,9.9,5.9,9.5,15.3,16.3,
    Animal care and service workers,'39-2000,Summary,439.4,489.4,50.0,11.4,6.0,10.5,16.5,28.0,48.6,76.7,81.7,
      Animal trainers,'39-2011,Line item,47.3,49.8,2.4,5.1,4.9,9.2,14.1,2.4,4.5,6.8,7.1,
      Animal caretakers,'39-2021,Line item,392.1,439.6,47.6,12.1,6.2,10.6,16.8,25.7,44.2,69.8,74.6,
    Entertainment attendants and related workers,'39-3000,Summary,659.8,674.8,15.0,2.3,10.0,13.8,23.7,66.5,91.8,158.3,159.8,
      Gambling services workers,'39-3010,Summary,113.0,111.8,-1.2,-1.0,5.8,10.2,16.0,6.6,11.5,18.0,17.9,
        Gambling dealers,'39-3011,Line item,88.7,88.1,-0.6,-0.6,5.8,10.2,16.0,5.2,9.0,14.2,14.1,
        Gambling and sports book writers and runners,'39-3012,Line item,8.2,7.7,-0.5,-6.1,5.8,10.2,16.0,0.5,0.8,1.3,1.2,
"        Gambling service workers, all other",'39-3019,Line item,16.1,16.0,-0.1,-0.6,5.8,10.2,16.0,0.9,1.6,2.6,2.6,
      Motion picture projectionists,'39-3021,Line item,2.0,2.0,-0.1,-3.7,10.6,14.7,25.3,0.2,0.3,0.5,0.5,
"      Ushers, lobby attendants, and ticket takers",'39-3031,Line item,121.7,123.1,1.4,1.2,11.4,13.7,25.1,13.9,16.8,30.7,30.8,
      Miscellaneous entertainment attendants and related workers,'39-3090,Summary,423.1,438.0,14.9,3.5,10.6,14.7,25.3,45.8,63.3,109.1,110.6,
        Amusement and recreation attendants,'39-3091,Line item,392.3,405.5,13.2,3.4,10.6,14.7,25.3,42.4,58.6,101.1,102.4,
        Costume attendants,'39-3092,Line item,6.7,7.1,0.4,5.9,10.6,14.7,25.3,0.7,1.0,1.8,1.8,
"        Locker room, coatroom, and dressing room attendants",'39-3093,Line item,15.6,16.6,1.0,6.4,10.6,14.7,25.3,1.7,2.4,4.1,4.2,
"        Entertainment attendants and related workers, all other",'39-3099,Line item,8.5,8.8,0.3,3.6,10.6,14.7,25.3,0.9,1.3,2.2,2.2,
    Funeral service workers,'39-4000,Summary,66.8,68.8,2.0,3.0,7.2,7.4,14.6,4.9,5.0,9.9,10.1,
      Embalmers and crematory operators,'39-4010,Summary,6.8,6.9,0.2,2.2,9.7,7.3,17.0,0.7,0.5,1.2,1.2,
        Embalmers,'39-4011,Line item,3.6,3.7,0.0,1.3,9.7,7.3,17.0,0.4,0.3,0.6,0.6,
        Crematory operators,'39-4012,Line item,3.1,3.2,0.1,3.3,9.7,7.3,17.0,0.3,0.2,0.5,0.6,
      Funeral attendants,'39-4021,Line item,32.5,33.5,1.0,3.1,9.7,7.3,17.0,3.2,2.4,5.6,5.7,
"      Morticians, undertakers, and funeral arrangers",'39-4031,Line item,27.5,28.4,0.8,3.1,3.8,7.5,11.2,1.0,2.1,3.1,3.2,
    Personal appearance workers,'39-5000,Summary,984.2,"1,042.4",58.2,5.9,5.2,6.8,12.0,52.5,68.9,121.5,127.3,
"      Barbers, hairdressers, hairstylists and cosmetologists",'39-5010,Summary,651.2,686.6,35.3,5.4,5.3,6.7,12.1,35.7,44.9,80.7,84.2,
        Barbers,'39-5011,Line item,76.0,79.2,3.1,4.1,3.7,6.7,10.4,2.9,5.2,8.1,8.4,
"        Hairdressers, hairstylists, and cosmetologists",'39-5012,Line item,575.2,607.4,32.2,5.6,5.6,6.7,12.3,32.9,39.7,72.6,75.8,
      Miscellaneous personal appearance workers,'39-5090,Summary,333.0,355.8,22.8,6.9,4.9,7.0,11.9,16.8,24.0,40.8,43.1,
"        Makeup artists, theatrical and performance",'39-5091,Line item,7.0,7.6,0.6,8.1,5.6,8.3,13.9,0.4,0.6,1.0,1.1,
        Manicurists and pedicurists,'39-5092,Line item,210.1,224.8,14.7,7.0,4.8,6.0,10.7,10.4,13.0,23.3,24.8,
        Shampooers,'39-5093,Line item,18.5,19.6,1.0,5.5,5.6,8.3,13.9,1.1,1.6,2.6,2.7,
        Skincare specialists,'39-5094,Line item,97.4,103.9,6.6,6.7,5.0,8.8,13.8,5.0,8.9,13.8,14.5,
"    Baggage porters, bellhops, and concierges",'39-6000,Summary,78.1,78.6,0.5,0.7,5.9,8.7,14.6,4.6,6.8,11.4,11.5,
      Baggage porters and bellhops,'39-6011,Line item,32.5,32.0,-0.5,-1.6,5.9,8.7,14.6,1.9,2.8,4.7,4.6,
      Concierges,'39-6012,Line item,45.6,46.7,1.1,2.3,5.9,8.7,14.6,2.7,4.0,6.7,6.8,
    Tour and travel guides,'39-7000,Summary,55.8,60.3,4.5,8.1,9.3,12.2,21.6,5.4,7.1,12.5,13.0,
      Tour and travel guides,'39-7010,Line item,55.8,60.3,4.5,8.1,9.3,12.2,21.6,5.4,7.1,12.5,13.0,
    Other personal care and service workers,'39-9000,Summary,"1,875.1","1,912.9",37.8,2.0,7.2,10.4,17.5,136.1,196.1,332.2,336.0,
      Childcare workers,'39-9011,Line item,991.6,962.4,-29.2,-2.9,7.6,9.1,16.7,74.7,88.4,163.1,160.2,
      Recreation and fitness workers,'39-9030,Summary,697.8,755.3,57.5,8.2,6.6,12.2,18.8,47.8,88.6,136.5,142.2,
        Exercise trainers and group fitness instructors,'39-9031,Line item,370.1,414.2,44.1,11.9,6.1,11.7,17.8,23.7,46.0,69.7,74.2,
        Recreation workers,'39-9032,Line item,327.7,341.1,13.4,4.1,7.2,12.8,20.0,24.1,42.6,66.7,68.1,
      Residential advisors,'39-9041,Line item,91.2,94.7,3.5,3.8,7.8,10.6,18.4,7.3,9.8,17.1,17.4,
"      Personal care and service workers, all other",'39-9099,Line item,94.4,100.4,6.0,6.4,6.5,9.4,15.9,6.3,9.2,15.5,16.1,
  Sales and related occupations,'41-0000,Summary,"14,532.6","14,234.8",-297.8,-2.0,5.8,6.8,12.6,833.2,983.4,"1,816.5","1,786.8",
    Supervisors of sales workers,'41-1000,Summary,"1,752.6","1,680.3",-72.3,-4.1,3.7,5.5,9.2,63.5,93.6,157.1,149.9,
      First-line supervisors of retail sales workers,'41-1011,Line item,"1,432.6","1,360.3",-72.3,-5.0,3.8,5.7,9.5,53.3,79.0,132.3,125.1,
      First-line supervisors of non-retail sales workers,'41-1012,Line item,320.0,320.0,0.0,0.0,3.2,4.6,7.8,10.2,14.6,24.8,24.8,
    Retail sales workers,'41-2000,Summary,"7,796.8","7,483.8",-313.0,-4.0,7.7,8.1,15.8,589.3,620.5,"1,209.9","1,178.6",
      Cashiers,'41-2010,Summary,"3,179.8","2,864.7",-315.1,-9.9,9.8,9.4,19.1,295.6,282.6,578.2,546.7,
        Cashiers,'41-2011,Line item,"3,157.2","2,843.6",-313.6,-9.9,9.8,9.4,19.1,293.5,280.6,574.0,542.6,
        Gambling change persons and booth cashiers,'41-2012,Line item,22.6,21.1,-1.5,-6.4,9.8,9.4,19.1,2.1,2.0,4.2,4.0,
      Counter and rental clerks and parts salespersons,'41-2020,Summary,680.3,701.9,21.6,3.2,4.6,6.0,10.7,32.1,41.8,73.9,76.1,
        Counter and rental clerks,'41-2021,Line item,408.2,421.3,13.1,3.2,4.8,5.9,10.7,19.9,24.6,44.6,45.9,
        Parts salespersons,'41-2022,Line item,272.1,280.6,8.5,3.1,4.4,6.2,10.6,12.2,17.2,29.3,30.2,
      Retail salespersons,'41-2031,Line item,"3,936.7","3,917.1",-19.6,-0.5,6.7,7.5,14.2,261.6,296.2,557.8,555.8,
"    Sales representatives, services",'41-3000,Summary,"2,479.4","2,550.3",70.9,2.9,3.1,5.6,8.6,77.7,139.8,217.5,224.6,
      Advertising sales agents,'41-3011,Line item,103.7,97.1,-6.6,-6.4,3.2,6.8,10.0,3.2,6.8,10.0,9.3,
      Insurance sales agents,'41-3021,Line item,568.8,589.8,21.1,3.7,3.6,4.2,7.7,20.7,24.2,44.9,47.0,
"      Securities, commodities, and financial services sales agents",'41-3031,Line item,514.5,531.6,17.1,3.3,2.6,4.4,7.0,13.4,23.1,36.4,38.1,
      Travel agents,'41-3041,Line item,65.7,67.2,1.4,2.2,4.7,5.8,10.5,3.1,3.8,7.0,7.1,
"      Sales representatives of services, except advertising, insurance, financial services, and travel",'41-3091,Line item,"1,226.7","1,264.7",37.9,3.1,3.0,6.6,9.6,37.3,81.9,119.2,123.0,
"    Sales representatives, wholesale and manufacturing",'41-4000,Summary,"1,613.6","1,623.8",10.1,0.6,3.4,5.3,8.7,55.0,86.0,141.1,142.1,
"      Sales representatives, wholesale and manufacturing, technical and scientific products",'41-4011,Line item,303.2,308.9,5.7,1.9,3.4,5.3,8.7,10.4,16.3,26.7,27.2,
"      Sales representatives, wholesale and manufacturing, except technical and scientific products",'41-4012,Line item,"1,310.5","1,314.9",4.4,0.3,3.4,5.3,8.7,44.6,69.8,114.4,114.8,
    Other sales and related workers,'41-9000,Summary,890.1,896.6,6.5,0.7,5.3,4.9,10.2,47.5,43.4,90.9,91.6,
"      Models, demonstrators, and product promoters",'41-9010,Summary,85.9,85.7,-0.1,-0.2,10.4,7.3,17.7,8.9,6.2,15.2,15.2,
        Demonstrators and product promoters,'41-9011,Line item,79.2,79.1,-0.1,-0.1,10.4,7.3,17.7,8.2,5.8,14.0,14.0,
        Models,'41-9012,Line item,6.7,6.7,0.0,-0.5,10.4,7.3,17.7,0.7,0.5,1.2,1.2,
      Real estate brokers and sales agents,'41-9020,Summary,532.2,548.7,16.5,3.1,4.8,3.5,8.3,25.9,18.7,44.6,46.3,
        Real estate brokers,'41-9021,Line item,111.3,115.0,3.7,3.3,4.8,3.5,8.3,5.4,3.9,9.3,9.7,
        Real estate sales agents,'41-9022,Line item,420.9,433.7,12.8,3.1,4.8,3.5,8.3,20.5,14.8,35.3,36.6,
      Sales engineers,'41-9031,Line item,56.8,59.9,3.1,5.5,2.4,5.6,8.0,1.4,3.3,4.6,5.0,
      Telemarketers,'41-9041,Line item,67.4,52.5,-14.9,-22.1,5.2,8.1,13.3,3.1,4.9,8.0,6.5,
      Miscellaneous sales and related workers,'41-9090,Summary,147.8,149.8,2.0,1.3,5.5,6.9,12.4,8.2,10.3,18.5,18.7,
"        Door-to-door sales workers, news and street vendors, and related workers",'41-9091,Line item,25.3,22.8,-2.5,-10.0,6.4,5.8,12.2,1.5,1.4,2.9,2.7,
"        Sales and related workers, all other",'41-9099,Line item,122.6,127.1,4.5,3.7,5.3,7.1,12.5,6.6,8.9,15.6,16.0,
  Office and administrative support occupations,'43-0000,Summary,"19,325.2","18,563.3",-761.9,-3.9,5.2,5.8,10.9,981.5,"1,091.4","2,073.0","1,996.8",
    Supervisors of office and administrative support workers,'43-1000,Summary,"1,558.4","1,554.4",-3.9,-0.3,4.0,5.3,9.3,63.0,81.9,144.9,144.5,
      First-line supervisors of office and administrative support workers,'43-1011,Line item,"1,558.4","1,554.4",-3.9,-0.3,4.0,5.3,9.3,63.0,81.9,144.9,144.5,
    Communications equipment operators,'43-2000,Summary,42.1,31.4,-10.7,-25.4,5.7,5.9,11.6,2.1,2.2,4.3,3.2,
"      Switchboard operators, including answering service",'43-2011,Line item,36.6,27.0,-9.6,-26.3,5.8,5.9,11.7,1.8,1.9,3.7,2.8,
      Telephone operators,'43-2021,Line item,4.0,2.9,-1.1,-27.5,5.8,5.8,11.6,0.2,0.2,0.4,0.3,
"      Communications equipment operators, all other",'43-2099,Line item,1.4,1.5,0.0,2.5,4.5,5.3,9.8,0.1,0.1,0.1,0.1,
    Financial clerks,'43-3000,Summary,"2,833.6","2,642.5",-191.1,-6.7,5.7,5.2,10.9,155.4,142.4,297.7,278.6,
      Bill and account collectors,'43-3011,Line item,166.9,149.4,-17.5,-10.5,4.5,5.2,9.8,7.1,8.3,15.4,13.7,
      Billing and posting clerks,'43-3021,Line item,429.8,427.9,-1.9,-0.4,4.5,5.4,9.9,19.3,23.0,42.4,42.2,
"      Bookkeeping, accounting, and auditing clerks",'43-3031,Line item,"1,613.4","1,519.1",-94.3,-5.8,6.4,5.0,11.5,100.7,78.6,179.4,170.0,
      Gambling cage workers,'43-3041,Line item,14.1,13.4,-0.7,-5.0,3.9,6.3,10.2,0.5,0.9,1.4,1.3,
      Payroll and timekeeping clerks,'43-3051,Line item,161.1,134.2,-27.0,-16.7,5.4,5.2,10.7,8.0,7.7,15.7,13.0,
      Procurement clerks,'43-3061,Line item,61.9,56.6,-5.4,-8.7,3.2,5.5,8.7,1.9,3.3,5.2,4.6,
      Tellers,'43-3071,Line item,347.4,302.5,-44.9,-12.9,5.0,5.6,10.6,16.1,18.1,34.3,29.8,
"      Financial clerks, all other",'43-3099,Line item,38.9,39.4,0.5,1.4,3.9,6.3,10.2,1.5,2.4,4.0,4.0,
    Information and record clerks,'43-4000,Summary,"5,511.6","5,304.2",-207.4,-3.8,5.6,6.9,12.5,300.2,373.5,673.7,653.0,
      Brokerage clerks,'43-4011,Line item,40.8,36.9,-3.9,-9.5,5.8,5.9,11.7,2.2,2.3,4.5,4.1,
      Correspondence clerks,'43-4021,Line item,6.9,6.5,-0.4,-5.6,5.1,6.5,11.6,0.3,0.4,0.8,0.7,
"      Court, municipal, and license clerks",'43-4031,Line item,180.4,185.9,5.5,3.0,4.6,5.2,9.8,8.5,9.5,18.0,18.5,
"      Credit authorizers, checkers, and clerks",'43-4041,Line item,12.0,11.3,-0.7,-6.2,4.1,4.7,8.8,0.5,0.6,1.0,1.0,
      Customer service representatives,'43-4051,Line item,"2,814.0","2,660.3",-153.7,-5.5,5.6,7.4,13.0,154.2,202.9,357.1,341.7,
"      Eligibility interviewers, government programs",'43-4061,Line item,166.8,168.5,1.7,1.0,3.8,4.5,8.3,6.3,7.5,13.8,14.0,
      File clerks,'43-4071,Line item,84.3,70.9,-13.4,-15.9,5.5,5.6,11.1,4.3,4.4,8.6,7.3,
"      Hotel, motel, and resort desk clerks",'43-4081,Line item,264.2,274.0,9.9,3.7,6.5,9.3,15.8,17.5,25.1,42.7,43.6,
"      Interviewers, except eligibility and loan",'43-4111,Line item,164.3,145.1,-19.1,-11.6,5.4,6.0,11.5,8.4,9.3,17.8,15.8,
"      Library assistants, clerical",'43-4121,Line item,84.5,78.9,-5.6,-6.7,8.8,7.6,16.4,7.2,6.2,13.4,12.8,
      Loan interviewers and clerks,'43-4131,Line item,177.6,173.5,-4.1,-2.3,3.2,4.6,7.8,5.6,8.2,13.7,13.3,
      New accounts clerks,'43-4141,Line item,38.9,33.8,-5.2,-13.2,2.9,4.9,7.8,1.1,1.8,2.8,2.3,
      Order clerks,'43-4151,Line item,89.5,74.1,-15.4,-17.2,5.1,6.5,11.6,4.2,5.4,9.5,8.0,
"      Human resources assistants, except payroll and timekeeping",'43-4161,Line item,95.2,88.4,-6.8,-7.1,4.3,6.2,10.5,4.0,5.7,9.7,9.0,
      Receptionists and information clerks,'43-4171,Line item,"1,007.2","1,007.6",0.3,0.0,6.1,6.7,12.8,61.1,67.3,128.4,128.5,
      Reservation and transportation ticket agents and travel clerks,'43-4181,Line item,131.9,135.6,3.7,2.8,4.5,6.0,10.5,6.0,8.0,14.1,14.4,
"      Information and record clerks, all other",'43-4199,Line item,153.3,153.0,-0.3,-0.2,5.8,5.9,11.7,8.9,9.0,17.8,17.8,
"    Material recording, scheduling, dispatching, and distributing workers",'43-5000,Summary,"2,492.6","2,422.1",-70.6,-2.8,3.8,5.1,8.9,93.0,124.5,217.5,210.5,
      Cargo and freight agents,'43-5011,Line item,100.6,109.2,8.6,8.5,2.7,4.9,7.6,2.8,5.1,8.0,8.8,
      Couriers and messengers,'43-5021,Line item,247.2,267.6,20.4,8.2,4.7,5.4,10.1,12.1,13.8,25.9,27.9,
      Dispatchers,'43-5030,Summary,323.9,325.5,1.6,0.5,3.8,5.2,8.9,12.2,16.8,29.0,29.2,
        Public safety telecommunicators,'43-5031,Line item,105.2,108.9,3.6,3.5,4.3,5.3,9.7,4.6,5.7,10.3,10.7,
"        Dispatchers, except police, fire, and ambulance",'43-5032,Line item,218.7,216.7,-2.1,-0.9,3.5,5.1,8.6,7.6,11.1,18.7,18.5,
"      Meter readers, utilities",'43-5041,Line item,20.1,17.7,-2.4,-12.0,3.9,4.2,8.1,0.7,0.8,1.5,1.3,
      Postal service workers,'43-5050,Summary,500.0,477.1,-22.9,-4.6,3.9,3.7,7.5,19.0,17.8,36.8,34.5,
        Postal service clerks,'43-5051,Line item,74.2,71.6,-2.6,-3.5,5.0,3.7,8.8,3.7,2.7,6.4,6.1,
        Postal service mail carriers,'43-5052,Line item,319.4,308.1,-11.3,-3.5,3.4,3.5,6.9,10.7,11.1,21.8,20.6,
"        Postal service mail sorters, processors, and processing machine operators",'43-5053,Line item,106.4,97.5,-8.9,-8.4,4.5,4.0,8.5,4.6,4.1,8.7,7.8,
"      Production, planning, and expediting clerks",'43-5061,Line item,388.8,381.7,-7.1,-1.8,3.3,5.7,9.0,12.9,22.0,34.9,34.1,
"      Shipping, receiving, and inventory clerks",'43-5071,Line item,862.2,795.8,-66.3,-7.7,3.7,5.4,9.2,30.8,45.1,75.9,69.3,
"      Weighers, measurers, checkers, and samplers, recordkeeping",'43-5111,Line item,49.8,47.4,-2.4,-4.8,5.0,6.3,11.3,2.4,3.1,5.5,5.3,
    Secretaries and administrative assistants,'43-6000,Summary,"3,453.1","3,440.8",-12.4,-0.4,5.3,5.1,10.4,184.4,175.1,359.5,358.3,
      Executive secretaries and executive administrative assistants,'43-6011,Line item,502.8,494.9,-7.9,-1.6,4.6,5.6,10.2,22.8,28.0,50.8,50.0,
      Legal secretaries and administrative assistants,'43-6012,Line item,156.3,147.3,-9.0,-5.8,8.3,5.2,13.5,12.6,7.9,20.5,19.6,
      Medical secretaries and administrative assistants,'43-6013,Line item,850.0,885.3,35.3,4.2,4.6,4.9,9.5,39.7,42.7,82.4,85.9,
"      Secretaries and administrative assistants, except legal, medical, and executive",'43-6014,Line item,"1,944.0","1,913.2",-30.8,-1.6,5.7,5.0,10.7,109.3,96.6,205.9,202.8,
    Other office and administrative support workers,'43-9000,Summary,"3,433.7","3,167.9",-265.8,-7.7,5.6,5.8,11.4,183.4,191.8,375.2,348.7,
      Data entry and information processing workers,'43-9020,Summary,181.7,130.5,-51.2,-28.2,5.0,5.8,10.8,7.8,9.1,16.9,11.8,
        Data entry keyers,'43-9021,Line item,141.6,104.9,-36.7,-25.9,4.7,6.0,10.7,5.8,7.4,13.2,9.5,
        Word processors and typists,'43-9022,Line item,40.0,25.6,-14.4,-36.1,6.1,5.1,11.2,2.0,1.7,3.7,2.2,
      Desktop publishers,'43-9031,Line item,5.0,4.4,-0.6,-12.4,4.3,6.0,10.3,0.2,0.3,0.5,0.4,
      Insurance claims and policy processing clerks,'43-9041,Line item,256.7,247.2,-9.5,-3.7,3.8,4.7,8.4,9.5,11.8,21.2,20.3,
"      Mail clerks and mail machine operators, except postal service",'43-9051,Line item,67.4,62.9,-4.4,-6.6,5.8,5.6,11.3,3.8,3.6,7.4,6.9,
"      Office clerks, general",'43-9061,Line item,"2,646.0","2,468.2",-177.8,-6.7,5.9,5.9,11.7,149.7,150.5,300.2,282.4,
"      Office machine operators, except computer",'43-9071,Line item,25.5,21.6,-3.9,-15.2,6.2,7.5,13.7,1.5,1.8,3.2,2.8,
      Proofreaders and copy markers,'43-9081,Line item,12.0,11.9,-0.1,-0.6,8.8,7.1,15.8,1.0,0.8,1.9,1.9,
      Statistical assistants,'43-9111,Line item,6.5,6.3,-0.2,-2.5,5.1,7.3,12.4,0.3,0.5,0.8,0.8,
"      Office and administrative support workers, all other",'43-9199,Line item,232.9,214.8,-18.1,-7.8,4.3,6.0,10.3,9.7,13.5,23.1,21.3,
"  Farming, fishing, and forestry occupations",'45-0000,Summary,"1,008.5",983.3,-25.2,-2.5,6.6,8.0,14.6,65.7,79.6,145.3,142.8,
"    Supervisors of farming, fishing, and forestry workers",'45-1000,Summary,65.4,67.0,1.6,2.5,5.2,7.4,12.6,3.4,4.9,8.3,8.5,
"      First-line supervisors of farming, fishing, and forestry workers",'45-1011,Line item,65.4,67.0,1.6,2.5,5.2,7.4,12.6,3.4,4.9,8.3,8.5,
    Agricultural workers,'45-2000,Summary,866.2,841.8,-24.3,-2.8,6.7,8.0,14.7,57.2,68.7,125.9,123.5,
      Agricultural inspectors,'45-2011,Line item,14.7,14.9,0.2,1.5,5.7,9.3,15.0,0.8,1.4,2.2,2.2,
      Animal breeders,'45-2021,Line item,7.9,8.1,0.2,2.4,6.7,8.0,14.8,0.5,0.6,1.2,1.2,
"      Graders and sorters, agricultural products",'45-2041,Line item,38.9,36.8,-2.1,-5.4,6.6,7.4,14.0,2.5,2.8,5.3,5.1,
      Miscellaneous agricultural workers,'45-2090,Summary,804.7,782.1,-22.6,-2.8,6.7,8.0,14.8,53.4,63.9,117.2,115.0,
        Agricultural equipment operators,'45-2091,Line item,65.2,70.3,5.0,7.7,6.7,8.0,14.8,4.6,5.5,10.0,10.5,
"        Farmworkers and laborers, crop, nursery, and greenhouse",'45-2092,Line item,504.8,488.1,-16.8,-3.3,6.7,8.0,14.8,33.4,40.0,73.4,71.7,
"        Farmworkers, farm, ranch, and aquacultural animals",'45-2093,Line item,224.6,213.4,-11.1,-5.0,6.7,8.0,14.8,14.7,17.6,32.4,31.2,
"        Agricultural workers, all other",'45-2099,Line item,10.1,10.3,0.2,2.3,6.7,8.0,14.8,0.7,0.8,1.5,1.5,
    Fishing and hunting workers,'45-3000,Summary,21.9,20.9,-1.0,-4.6,6.3,7.3,13.6,1.3,1.6,2.9,2.8,
      Fishing and hunting workers,'45-3031,Line item,21.9,20.9,-1.0,-4.6,6.3,7.3,13.6,1.3,1.6,2.9,2.8,
"    Forest, conservation, and logging workers",'45-4000,Summary,55.0,53.5,-1.5,-2.8,6.7,8.3,15.0,3.7,4.5,8.2,8.0,
      Forest and conservation workers,'45-4011,Line item,10.8,10.3,-0.5,-4.7,6.2,13.5,19.7,0.7,1.4,2.1,2.0,
      Logging workers,'45-4020,Summary,44.3,43.3,-1.0,-2.3,6.9,7.0,13.9,3.0,3.1,6.1,6.0,
        Fallers,'45-4021,Line item,5.6,5.2,-0.4,-7.3,6.9,7.0,13.9,0.4,0.4,0.7,0.7,
        Logging equipment operators,'45-4022,Line item,30.9,30.5,-0.4,-1.4,6.9,7.0,13.9,2.1,2.2,4.3,4.2,
        Log graders and scalers,'45-4023,Line item,4.6,4.6,0.0,-0.7,6.9,7.0,13.9,0.3,0.3,0.6,0.6,
"        Logging workers, all other",'45-4029,Line item,3.1,3.0,-0.1,-4.7,6.9,7.0,13.9,0.2,0.2,0.4,0.4,
  Construction and extraction occupations,'47-0000,Summary,"7,574.7","7,968.8",394.1,5.2,3.1,4.7,7.8,244.4,365.5,609.9,649.3,
    Supervisors of construction and extraction workers,'47-1000,Summary,921.6,970.6,49.0,5.3,3.2,4.2,7.3,29.9,39.6,69.5,74.4,
      First-line supervisors of construction trades and extraction workers,'47-1011,Line item,921.6,970.6,49.0,5.3,3.2,4.2,7.3,29.9,39.6,69.5,74.4,
    Construction trades workers,'47-2000,Summary,"5,752.6","6,084.4",331.9,5.8,3.1,4.7,7.7,182.1,276.0,458.0,491.2,
      Boilermakers,'47-2011,Line item,10.4,10.1,-0.2,-2.4,4.3,4.1,8.5,0.4,0.4,0.9,0.8,
"      Brickmasons, blockmasons, and stonemasons",'47-2020,Summary,86.2,88.2,2.0,2.3,2.8,4.3,7.1,2.5,3.7,6.2,6.4,
        Brickmasons and blockmasons,'47-2021,Line item,74.1,76.4,2.4,3.2,2.8,4.3,7.1,2.1,3.2,5.4,5.6,
        Stonemasons,'47-2022,Line item,12.1,11.8,-0.4,-3.0,2.8,4.3,7.1,0.3,0.5,0.9,0.8,
      Carpenters,'47-2031,Line item,959.0,"1,002.1",43.1,4.5,2.8,4.3,7.1,27.8,41.9,69.8,74.1,
"      Carpet, floor, and tile installers and finishers",'47-2040,Summary,112.3,119.0,6.7,6.0,2.8,3.9,6.7,3.2,4.5,7.7,8.4,
        Carpet installers,'47-2041,Line item,20.3,18.3,-1.9,-9.6,2.8,3.9,6.7,0.5,0.7,1.3,1.1,
"        Floor layers, except carpet, wood, and hard tiles",'47-2042,Line item,33.7,36.9,3.2,9.5,2.8,3.9,6.7,1.0,1.4,2.4,2.7,
        Floor sanders and finishers,'47-2043,Line item,5.6,5.8,0.1,2.6,2.8,3.9,6.7,0.2,0.2,0.4,0.4,
        Tile and stone setters,'47-2044,Line item,52.6,58.0,5.3,10.1,2.8,3.9,6.7,1.5,2.1,3.7,4.2,
"      Cement masons, concrete finishers, and terrazzo workers",'47-2050,Summary,208.2,211.8,3.6,1.7,2.5,4.2,6.7,5.2,8.7,14.0,14.3,
        Cement masons and concrete finishers,'47-2051,Line item,206.7,210.4,3.8,1.8,2.5,4.2,6.7,5.2,8.7,13.9,14.3,
        Terrazzo workers and finishers,'47-2053,Line item,1.5,1.3,-0.2,-11.1,2.5,4.2,6.7,0.0,0.1,0.1,0.1,
      Construction laborers,'47-2061,Line item,"1,457.0","1,563.4",106.5,7.3,3.2,4.6,7.9,48.5,70.2,118.7,129.4,
      Construction equipment operators,'47-2070,Summary,539.5,559.0,19.5,3.6,3.4,4.7,8.1,18.4,25.8,44.3,46.2,
"        Paving, surfacing, and tamping equipment operators",'47-2071,Line item,47.0,48.6,1.5,3.2,3.4,4.7,8.1,1.6,2.2,3.9,4.0,
        Pile driver operators,'47-2072,Line item,3.2,3.3,0.1,4.3,3.4,4.7,8.1,0.1,0.2,0.3,0.3,
        Operating engineers and other construction equipment operators,'47-2073,Line item,489.3,507.1,17.8,3.6,3.4,4.7,8.1,16.7,23.4,40.1,41.9,
"      Drywall installers, ceiling tile installers, and tapers",'47-2080,Summary,118.6,123.0,4.4,3.7,2.8,4.2,6.9,3.3,5.0,8.4,8.8,
        Drywall and ceiling tile installers,'47-2081,Line item,103.1,107.4,4.3,4.2,2.8,4.2,6.9,2.9,4.4,7.3,7.7,
        Tapers,'47-2082,Line item,15.6,15.6,0.0,0.1,2.8,4.2,6.9,0.4,0.6,1.1,1.1,
      Electricians,'47-2111,Line item,818.7,896.1,77.4,9.5,3.2,5.4,8.5,27.0,46.2,73.2,81.0,
      Glaziers,'47-2121,Line item,60.5,62.5,2.0,3.3,3.6,4.4,7.9,2.2,2.7,4.9,5.1,
      Insulation workers,'47-2130,Summary,67.4,70.2,2.8,4.2,2.8,5.1,7.9,2.0,3.5,5.5,5.7,
"        Insulation workers, floor, ceiling, and wall",'47-2131,Line item,40.2,41.7,1.5,3.8,2.8,5.1,7.9,1.2,2.1,3.2,3.4,
"        Insulation workers, mechanical",'47-2132,Line item,27.2,28.5,1.3,4.7,2.8,5.1,7.9,0.8,1.4,2.2,2.3,
      Painters and paperhangers,'47-2140,Summary,344.6,357.7,13.1,3.8,3.6,4.1,7.7,12.5,14.4,27.0,28.3,
"        Painters, construction and maintenance",'47-2141,Line item,342.2,355.2,13.0,3.8,3.6,4.1,7.7,12.4,14.3,26.8,28.1,
