2024 National Employment Matrix title,2024 National Employment Matrix code,"Employment, 2024","Employment, 2034","Employment change, numeric, 2024–34","Employment change, percent, 2024–34","Percent self employed, 2024","Occupational openings, 2024–34 annual average","Median annual wage, dollars, 2024[1]",Typical education needed for entry,Top highest skill,Second highest skill,Third highest skill,Related Occupational Outlook Handbook (OOH) content
  Demonstrators and product promoters,'41-9011,79.2,79.1,-0.1,-0.1,18.2,14.0,"37,960",No formal educational credential,Customer service,Interpersonal,Speaking and listening,—
  Models,'41-9012,6.7,6.7,0.0,-0.5,16.3,1.2,"89,990",No formal educational credential,Adaptability,Creativity and innovation,Detail oriented,OOH Content
  Real estate brokers,'41-9021,111.3,115.0,3.7,3.3,54.5,9.7,"72,280",High school diploma or equivalent,Adaptability,Problem solving and decision making,Customer service,OOH Content
  Real estate sales agents,'41-9022,420.9,433.7,12.8,3.1,53.7,36.6,"56,320",High school diploma or equivalent,Adaptability,Customer service,Problem solving and decision making,OOH Content
  Sales engineers,'41-9031,56.8,59.9,3.1,5.5,—,5.0,"121,520",Bachelor's degree,Problem solving and decision making,Adaptability,Writing and reading,OOH Content
  Telemarketers,'41-9041,67.4,52.5,-14.9,-22.1,0.6,6.5,"34,410",No formal educational credential,Customer service,Adaptability,Speaking and listening,—
"  Door-to-door sales workers, news and street vendors, and related workers",'41-9091,25.3,22.8,-2.5,-10.0,81.8,2.7,"34,530",No formal educational credential,Customer service,Speaking and listening,Interpersonal,—
"  Sales and related workers, all other[2]",'41-9099,122.6,127.1,4.5,3.7,14.8,16.0,"46,370",High school diploma or equivalent,Adaptability,Customer service,Interpersonal,—
  First-line supervisors of office and administrative support workers,'43-1011,"1,558.4","1,554.4",-3.9,-0.3,0.7,144.5,"66,140",High school diploma or equivalent,Adaptability,Leadership,Writing and reading,—
"  Switchboard operators, including answering service",'43-2011,36.6,27.0,-9.6,-26.3,—,2.8,"38,370",High school diploma or equivalent,Customer service,Adaptability,Speaking and listening,—
  Telephone operators,'43-2021,4.0,2.9,-1.1,-27.5,—,0.3,"39,130",High school diploma or equivalent,Adaptability,Speaking and listening,Customer service,—
"  Communications equipment operators, all other[2]",'43-2099,1.4,1.5,0.0,2.5,—,0.1,"49,910",High school diploma or equivalent,Customer service,Adaptability,Speaking and listening,—
  Bill and account collectors,'43-3011,166.9,149.4,-17.5,-10.5,0.2,13.7,"46,040",High school diploma or equivalent,Detail oriented,Adaptability,Customer service,OOH Content
  Billing and posting clerks,'43-3021,429.8,427.9,-1.9,-0.4,0.8,42.2,"47,170",High school diploma or equivalent,Adaptability,Computers and information technology,Detail oriented,OOH Content
"  Bookkeeping, accounting, and auditing clerks",'43-3031,"1,613.4","1,519.1",-94.3,-5.8,5.2,170.0,"49,210","Some college, no degree",Detail oriented,Mathematics,Computers and information technology,OOH Content
  Gambling cage workers,'43-3041,14.1,13.4,-0.7,-5.0,1.6,1.3,"36,990",High school diploma or equivalent,Detail oriented,Adaptability,Customer service,OOH Content
  Payroll and timekeeping clerks,'43-3051,161.1,134.2,-27.0,-16.7,0.9,13.0,"55,290",High school diploma or equivalent,Adaptability,Detail oriented,Mathematics,OOH Content
  Procurement clerks,'43-3061,61.9,56.6,-5.4,-8.7,—,4.6,"48,510",High school diploma or equivalent,Adaptability,Problem solving and decision making,Writing and reading,OOH Content
  Tellers,'43-3071,347.4,302.5,-44.9,-12.9,—,29.8,"39,340",High school diploma or equivalent,Detail oriented,Adaptability,Customer service,OOH Content
"  Financial clerks, all other[2]",'43-3099,38.9,39.4,0.5,1.4,2.7,4.0,"52,150",High school diploma or equivalent,Adaptability,Detail oriented,Computers and information technology,—
  Brokerage clerks,'43-4011,40.8,36.9,-3.9,-9.5,—,4.1,"62,940",High school diploma or equivalent,Detail oriented,Adaptability,Computers and information technology,OOH Content
  Correspondence clerks,'43-4021,6.9,6.5,-0.4,-5.6,5.1,0.7,"46,740",High school diploma or equivalent,Writing and reading,Detail oriented,Computers and information technology,OOH Content
"  Court, municipal, and license clerks",'43-4031,180.4,185.9,5.5,3.0,1.0,18.5,"47,700",High school diploma or equivalent,Adaptability,Computers and information technology,Detail oriented,OOH Content
"  Credit authorizers, checkers, and clerks",'43-4041,12.0,11.3,-0.7,-6.2,—,1.0,"49,130",High school diploma or equivalent,Customer service,Detail oriented,Adaptability,OOH Content
  Customer service representatives,'43-4051,"2,814.0","2,660.3",-153.7,-5.5,0.8,341.7,"42,830",High school diploma or equivalent,Adaptability,Customer service,Detail oriented,OOH Content
"  Eligibility interviewers, government programs",'43-4061,166.8,168.5,1.7,1.0,0.3,14.0,"51,500",High school diploma or equivalent,Adaptability,Writing and reading,Computers and information technology,OOH Content
  File clerks,'43-4071,84.3,70.9,-13.4,-15.9,2.9,7.3,"41,270",High school diploma or equivalent,Detail oriented,Adaptability,Computers and information technology,OOH Content
"  Hotel, motel, and resort desk clerks",'43-4081,264.2,274.0,9.9,3.7,—,43.6,"34,270",High school diploma or equivalent,Customer service,Adaptability,Interpersonal,OOH Content
"  Interviewers, except eligibility and loan",'43-4111,164.3,145.1,-19.1,-11.6,0.6,15.8,"43,830",High school diploma or equivalent,Adaptability,Interpersonal,Computers and information technology,OOH Content
"  Library assistants, clerical",'43-4121,84.5,78.9,-5.6,-6.7,—,12.8,"36,010",High school diploma or equivalent,Adaptability,Interpersonal,Computers and information technology,OOH Content
  Loan interviewers and clerks,'43-4131,177.6,173.5,-4.1,-2.3,0.9,13.3,"48,950",High school diploma or equivalent,Customer service,Adaptability,Problem solving and decision making,OOH Content
  New accounts clerks,'43-4141,38.9,33.8,-5.2,-13.2,—,2.3,"46,610",High school diploma or equivalent,Customer service,Adaptability,Detail oriented,OOH Content
  Order clerks,'43-4151,89.5,74.1,-15.4,-17.2,5.5,8.0,"44,660","Some college, no degree",Adaptability,Computers and information technology,Interpersonal,OOH Content
"  Human resources assistants, except payroll and timekeeping",'43-4161,95.2,88.4,-6.8,-7.1,0.3,9.0,"49,440",Associate's degree,Writing and reading,Computers and information technology,Adaptability,OOH Content
  Receptionists and information clerks,'43-4171,"1,007.2","1,007.6",0.3,0.0,0.6,128.5,"37,230",High school diploma or equivalent,Adaptability,Interpersonal,Customer service,OOH Content
  Reservation and transportation ticket agents and travel clerks,'43-4181,131.9,135.6,3.7,2.8,3.0,14.4,"41,460",High school diploma or equivalent,Adaptability,Customer service,Interpersonal,OOH Content
"  Information and record clerks, all other[2]",'43-4199,153.3,153.0,-0.3,-0.2,—,17.8,"48,360",High school diploma or equivalent,Adaptability,Customer service,Interpersonal,OOH Content
  Cargo and freight agents,'43-5011,100.6,109.2,8.6,8.5,1.2,8.8,"49,900",High school diploma or equivalent,Detail oriented,Adaptability,Problem solving and decision making,—
  Couriers and messengers,'43-5021,247.2,267.6,20.4,8.2,70.2,27.9,"38,340",High school diploma or equivalent,Detail oriented,Problem solving and decision making,Adaptability,—
  Public safety telecommunicators,'43-5031,105.2,108.9,3.6,3.5,—,10.7,"50,730",High school diploma or equivalent,Adaptability,Detail oriented,Customer service,OOH Content
"  Dispatchers, except police, fire, and ambulance",'43-5032,218.7,216.7,-2.1,-0.9,2.7,18.5,"48,880",High school diploma or equivalent,Adaptability,Problem solving and decision making,Customer service,—
"  Meter readers, utilities",'43-5041,20.1,17.7,-2.4,-12.0,—,1.3,"49,180",High school diploma or equivalent,Detail oriented,Adaptability,Customer service,—
  Postal service clerks,'43-5051,74.2,71.6,-2.6,-3.5,—,6.1,"61,630",No formal educational credential,Customer service,Adaptability,Detail oriented,OOH Content
  Postal service mail carriers,'43-5052,319.4,308.1,-11.3,-3.5,—,20.6,"57,490",No formal educational credential,Detail oriented,Customer service,Adaptability,OOH Content
"  Postal service mail sorters, processors, and processing machine operators",'43-5053,106.4,97.5,-8.9,-8.4,—,7.8,"56,530",No formal educational credential,Detail oriented,Adaptability,Fine motor,OOH Content
"  Production, planning, and expediting clerks",'43-5061,388.8,381.7,-7.1,-1.8,—,34.1,"57,770",High school diploma or equivalent,Detail oriented,Adaptability,Problem solving and decision making,OOH Content
"  Shipping, receiving, and inventory clerks",'43-5071,862.2,795.8,-66.3,-7.7,0.6,69.3,"43,190",High school diploma or equivalent,Detail oriented,Computers and information technology,Adaptability,OOH Content
"  Weighers, measurers, checkers, and samplers, recordkeeping",'43-5111,49.8,47.4,-2.4,-4.8,0.4,5.3,"45,650",High school diploma or equivalent,Detail oriented,Adaptability,Leadership,OOH Content
  Executive secretaries and executive administrative assistants,'43-6011,502.8,494.9,-7.9,-1.6,0.2,50.0,"74,260",High school diploma or equivalent,Adaptability,Interpersonal,Writing and reading,OOH Content
  Legal secretaries and administrative assistants,'43-6012,156.3,147.3,-9.0,-5.8,0.5,19.6,"54,140",High school diploma or equivalent,Adaptability,Writing and reading,Computers and information technology,OOH Content
  Medical secretaries and administrative assistants,'43-6013,850.0,885.3,35.3,4.2,0.0,85.9,"44,640",High school diploma or equivalent,Interpersonal,Customer service,Adaptability,OOH Content
"  Secretaries and administrative assistants, except legal, medical, and executive",'43-6014,"1,944.0","1,913.2",-30.8,-1.6,1.9,202.8,"46,290",High school diploma or equivalent,Writing and reading,Computers and information technology,Adaptability,OOH Content
  Data entry keyers,'43-9021,141.6,104.9,-36.7,-25.9,2.2,9.5,"39,850",High school diploma or equivalent,Adaptability,Detail oriented,Computers and information technology,—
  Word processors and typists,'43-9022,40.0,25.6,-14.4,-36.1,7.5,2.2,"47,850",High school diploma or equivalent,Computers and information technology,Detail oriented,Adaptability,—
  Desktop publishers,'43-9031,5.0,4.4,-0.6,-12.4,16.8,0.4,"53,620",Associate's degree,Adaptability,Computers and information technology,Detail oriented,OOH Content
  Insurance claims and policy processing clerks,'43-9041,256.7,247.2,-9.5,-3.7,0.5,20.3,"48,450",High school diploma or equivalent,Adaptability,Computers and information technology,Detail oriented,OOH Content
"  Mail clerks and mail machine operators, except postal service",'43-9051,67.4,62.9,-4.4,-6.6,2.1,6.9,"38,150",High school diploma or equivalent,Detail oriented,Adaptability,Problem solving and decision making,—
"  Office clerks, general",'43-9061,"2,646.0","2,468.2",-177.8,-6.7,0.5,282.4,"43,630",High school diploma or equivalent,Adaptability,Detail oriented,Computers and information technology,OOH Content
"  Office machine operators, except computer",'43-9071,25.5,21.6,-3.9,-15.2,—,2.8,"39,020",High school diploma or equivalent,Adaptability,Detail oriented,Computers and information technology,—
  Proofreaders and copy markers,'43-9081,12.0,11.9,-0.1,-0.6,31.2,1.9,"49,210",Bachelor's degree,Detail oriented,Writing and reading,Adaptability,—
  Statistical assistants,'43-9111,6.5,6.3,-0.2,-2.5,—,0.8,"51,440",Bachelor's degree,Mathematics,Computers and information technology,Writing and reading,—
"  Office and administrative support workers, all other[2]",'43-9199,232.9,214.8,-18.1,-7.8,9.8,21.3,"46,040",High school diploma or equivalent,Adaptability,Detail oriented,Computers and information technology,—
"  First-line supervisors of farming, fishing, and forestry workers",'45-1011,65.4,67.0,1.6,2.5,11.4,8.5,"59,330",High school diploma or equivalent,Problem solving and decision making,Adaptability,Leadership,—
  Agricultural inspectors,'45-2011,14.7,14.9,0.2,1.5,—,2.2,"50,990",Bachelor's degree,Detail oriented,Adaptability,Problem solving and decision making,—
  Animal breeders,'45-2021,7.9,8.1,0.2,2.4,3.4,1.2,"52,000",High school diploma or equivalent,Detail oriented,Problem solving and decision making,Adaptability,OOH Content
"  Graders and sorters, agricultural products",'45-2041,38.9,36.8,-2.1,-5.4,—,5.1,"35,430",No formal educational credential,Detail oriented,Fine motor,Adaptability,—
  Agricultural equipment operators,'45-2091,65.2,70.3,5.0,7.7,7.1,10.5,"42,580",No formal educational credential,Detail oriented,Interpersonal,Leadership,OOH Content
"  Farmworkers and laborers, crop, nursery, and greenhouse",'45-2092,504.8,488.1,-16.8,-3.3,7.9,71.7,"35,690",No formal educational credential,Physical strength and stamina,Fine motor,Adaptability,OOH Content
"  Farmworkers, farm, ranch, and aquacultural animals",'45-2093,224.6,213.4,-11.1,-5.0,2.3,31.2,"36,150",No formal educational credential,Detail oriented,Adaptability,Problem solving and decision making,OOH Content
"  Agricultural workers, all other[2]",'45-2099,10.1,10.3,0.2,2.3,5.8,1.5,"40,390",No formal educational credential,Physical strength and stamina,Fine motor,Adaptability,OOH Content
  Fishing and hunting workers,'45-3031,21.9,20.9,-1.0,-4.6,57.1,2.8,—,No formal educational credential,Detail oriented,Problem solving and decision making,Adaptability,OOH Content
  Forest and conservation workers,'45-4011,10.8,10.3,-0.5,-4.7,15.1,2.0,"43,680",High school diploma or equivalent,Adaptability,Detail oriented,Problem solving and decision making,OOH Content
  Fallers,'45-4021,5.6,5.2,-0.4,-7.3,29.6,0.7,"53,900",High school diploma or equivalent,Detail oriented,Physical strength and stamina,Fine motor,OOH Content
  Logging equipment operators,'45-4022,30.9,30.5,-0.4,-1.4,29.1,4.2,"49,210",High school diploma or equivalent,Detail oriented,Problem solving and decision making,Fine motor,OOH Content
  Log graders and scalers,'45-4023,4.6,4.6,0.0,-0.7,28.3,0.6,"46,710",High school diploma or equivalent,Detail oriented,Problem solving and decision making,Adaptability,OOH Content
"  Logging workers, all other[2]",'45-4029,3.1,3.0,-0.1,-4.7,27.6,0.4,"52,000",High school diploma or equivalent,Detail oriented,Problem solving and decision making,Fine motor,OOH Content
  First-line supervisors of construction trades and extraction workers,'47-1011,921.6,970.6,49.0,5.3,11.5,74.4,"78,690",High school diploma or equivalent,Adaptability,Problem solving and decision making,Detail oriented,—
  Boilermakers,'47-2011,10.4,10.1,-0.2,-2.4,—,0.8,"73,340",High school diploma or equivalent,Fine motor,Detail oriented,Mechanical,OOH Content
  Brickmasons and blockmasons,'47-2021,74.1,76.4,2.4,3.2,27.1,5.6,"60,800",High school diploma or equivalent,Detail oriented,Physical strength and stamina,Adaptability,OOH Content
  Stonemasons,'47-2022,12.1,11.8,-0.4,-3.0,27.3,0.8,"51,990",High school diploma or equivalent,Physical strength and stamina,Leadership,Problem solving and decision making,OOH Content
  Carpenters,'47-2031,959.0,"1,002.1",43.1,4.5,26.8,74.1,"59,310",High school diploma or equivalent,Detail oriented,Adaptability,Problem solving and decision making,OOH Content
  Carpet installers,'47-2041,20.3,18.3,-1.9,-9.6,25.6,1.1,"49,850",No formal educational credential,Detail oriented,Problem solving and decision making,Adaptability,OOH Content
"  Floor layers, except carpet, wood, and hard tiles",'47-2042,33.7,36.9,3.2,9.5,25.7,2.7,"54,340",No formal educational credential,Problem solving and decision making,Detail oriented,Adaptability,OOH Content
  Floor sanders and finishers,'47-2043,5.6,5.8,0.1,2.6,25.7,0.4,"49,150",No formal educational credential,Detail oriented,Fine motor,Adaptability,OOH Content
  Tile and stone setters,'47-2044,52.6,58.0,5.3,10.1,25.7,4.2,"52,240",No formal educational credential,Detail oriented,Adaptability,Fine motor,OOH Content
  Cement masons and concrete finishers,'47-2051,206.7,210.4,3.8,1.8,1.0,14.3,"54,660",No formal educational credential,Detail oriented,Physical strength and stamina,Fine motor,OOH Content
  Terrazzo workers and finishers,'47-2053,1.5,1.3,-0.2,-11.1,—,0.1,"57,260",High school diploma or equivalent,Detail oriented,Fine motor,Physical strength and stamina,OOH Content
  Construction laborers,'47-2061,"1,457.0","1,563.4",106.5,7.3,26.9,129.4,"46,730",No formal educational credential,Detail oriented,Adaptability,Fine motor,OOH Content
"  Paving, surfacing, and tamping equipment operators",'47-2071,47.0,48.6,1.5,3.2,2.7,4.0,"51,650",High school diploma or equivalent,Detail oriented,Adaptability,Fine motor,OOH Content
  Pile driver operators,'47-2072,3.2,3.3,0.1,4.3,3.0,0.3,"70,510",High school diploma or equivalent,Detail oriented,Fine motor,Problem solving and decision making,OOH Content
  Operating engineers and other construction equipment operators,'47-2073,489.3,507.1,17.8,3.6,2.5,41.9,"58,710",High school diploma or equivalent,Detail oriented,Adaptability,Problem solving and decision making,OOH Content
  Drywall and ceiling tile installers,'47-2081,103.1,107.4,4.3,4.2,19.5,7.7,"58,140",No formal educational credential,Detail oriented,Physical strength and stamina,Fine motor,OOH Content
  Tapers,'47-2082,15.6,15.6,0.0,0.1,19.5,1.1,"64,700",No formal educational credential,Detail oriented,Physical strength and stamina,Problem solving and decision making,OOH Content
  Electricians,'47-2111,818.7,896.1,77.4,9.5,7.8,81.0,"62,350",High school diploma or equivalent,Detail oriented,Adaptability,Problem solving and decision making,OOH Content
  Glaziers,'47-2121,60.5,62.5,2.0,3.3,7.1,5.1,"55,440",High school diploma or equivalent,Detail oriented,Problem solving and decision making,Adaptability,OOH Content
"  Insulation workers, floor, ceiling, and wall",'47-2131,40.2,41.7,1.5,3.8,3.5,3.4,"48,680",No formal educational credential,Physical strength and stamina,Detail oriented,Adaptability,OOH Content
"  Insulation workers, mechanical",'47-2132,27.2,28.5,1.3,4.7,3.3,2.3,"57,250",High school diploma or equivalent,Adaptability,Detail oriented,Problem solving and decision making,OOH Content
"  Painters, construction and maintenance",'47-2141,342.2,355.2,13.0,3.8,33.8,28.1,"48,660",No formal educational credential,Detail oriented,Adaptability,Leadership,OOH Content
  Paperhangers,'47-2142,2.3,2.5,0.1,5.3,34.8,0.2,"48,260",No formal educational credential,Detail oriented,Adaptability,Physical strength and stamina,—
  Pipelayers,'47-2151,34.4,32.9,-1.4,-4.1,—,2.4,"48,710",No formal educational credential,Detail oriented,Adaptability,Fine motor,—
"  Plumbers, pipefitters, and steamfitters",'47-2152,504.5,527.2,22.7,4.5,7.8,44.0,"62,970",High school diploma or equivalent,Problem solving and decision making,Detail oriented,Adaptability,OOH Content
  Plasterers and stucco masons,'47-2161,24.2,25.2,1.0,4.1,13.4,1.9,"56,020",No formal educational credential,Detail oriented,Physical strength and stamina,Fine motor,—
  Reinforcing iron and rebar workers,'47-2171,19.4,20.3,0.9,4.6,27.7,1.5,"59,280",High school diploma or equivalent,Physical strength and stamina,Detail oriented,Fine motor,OOH Content
  Roofers,'47-2181,166.7,176.5,9.8,5.9,18.3,12.7,"50,970",No formal educational credential,Detail oriented,Adaptability,Physical strength and stamina,OOH Content
  Sheet metal workers,'47-2211,127.0,130.1,3.1,2.4,6.5,10.6,"60,850",High school diploma or equivalent,Detail oriented,Leadership,Adaptability,OOH Content
  Structural iron and steel workers,'47-2221,65.7,68.6,2.9,4.4,1.9,5.5,"62,700",High school diploma or equivalent,Detail oriented,Physical strength and stamina,Fine motor,OOH Content
  Solar photovoltaic installers,'47-2231,28.6,40.6,12.0,42.1,—,4.1,"51,860",High school diploma or equivalent,Detail oriented,Adaptability,Problem solving and decision making,OOH Content
"  Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",'47-3011,16.1,14.4,-1.7,-10.5,1.8,1.4,"46,480",No formal educational credential,Detail oriented,Physical strength and stamina,Fine motor,OOH Content
  Helpers--carpenters,'47-3012,25.2,26.4,1.1,4.5,1.8,2.7,"41,600",No formal educational credential,Detail oriented,Adaptability,Problem solving and decision making,OOH Content
  Helpers--electricians,'47-3013,66.6,66.7,0.1,0.2,1.8,6.8,"39,890",High school diploma or equivalent,Detail oriented,Adaptability,Fine motor,OOH Content
"  Helpers--painters, paperhangers, plasterers, and stucco masons",'47-3014,7.4,7.6,0.2,2.3,1.8,0.8,"38,140",No formal educational credential,Physical strength and stamina,Adaptability,Detail oriented,OOH Content
"  Helpers--pipelayers, plumbers, pipefitters, and steamfitters",'47-3015,45.3,47.5,2.2,4.9,1.8,4.9,"39,270",High school diploma or equivalent,Adaptability,Detail oriented,Fine motor,OOH Content
  Helpers--roofers,'47-3016,5.2,5.5,0.3,5.7,1.9,0.6,"40,590",No formal educational credential,Detail oriented,Adaptability,Physical strength and stamina,OOH Content
"  Helpers, construction trades, all other[2]",'47-3019,26.3,27.4,1.2,4.4,1.7,2.8,"40,760",No formal educational credential,Detail oriented,Adaptability,Fine motor,OOH Content
  Construction and building inspectors,'47-4011,147.6,146.5,-1.2,-0.8,4.8,14.8,"72,120",High school diploma or equivalent,Adaptability,Problem solving and decision making,Writing and reading,OOH Content
  Elevator and escalator installers and repairers,'47-4021,24.2,25.4,1.2,5.0,—,2.0,"106,580",High school diploma or equivalent,Detail oriented,Problem solving and decision making,Mechanical,OOH Content
  Fence erectors,'47-4031,26.4,27.6,1.2,4.6,11.4,2.3,"46,940",No formal educational credential,Detail oriented,Physical strength and stamina,Leadership,—
  Hazardous materials removal workers,'47-4041,51.3,51.8,0.5,1.0,0.1,5.0,"48,490",High school diploma or equivalent,Adaptability,Detail oriented,Interpersonal,OOH Content
  Highway maintenance workers,'47-4051,159.1,163.9,4.8,3.0,—,12.3,"49,070",High school diploma or equivalent,Detail oriented,Customer service,Interpersonal,—
  Rail-track laying and maintenance equipment operators,'47-4061,15.0,15.3,0.2,1.6,—,1.1,"67,370",High school diploma or equivalent,Detail oriented,Adaptability,Fine motor,—
  Septic tank servicers and sewer pipe cleaners,'47-4071,30.4,32.7,2.3,7.6,2.8,2.9,"49,140",High school diploma or equivalent,Problem solving and decision making,Fine motor,Customer service,—
  Miscellaneous construction and related workers[2],'47-4090,35.0,36.2,1.2,3.5,3.2,3.1,"48,120",High school diploma or equivalent,Detail oriented,Adaptability,Problem solving and decision making,—
"  Derrick operators, oil and gas",'47-5011,11.3,11.3,0.1,0.5,1.4,1.0,"62,740",No formal educational credential,Fine motor,Physical strength and stamina,Problem solving and decision making,OOH Content
"  Rotary drill operators, oil and gas",'47-5012,13.3,13.4,0.0,0.2,1.4,1.2,"65,010",No formal educational credential,Detail oriented,Leadership,Problem solving and decision making,OOH Content
"  Service unit operators, oil and gas",'47-5013,45.2,45.4,0.2,0.4,1.4,4.1,"57,980",No formal educational credential,Detail oriented,Leadership,Problem solving and decision making,OOH Content
"  Excavating and loading machine and dragline operators, surface mining",'47-5022,35.8,35.6,-0.1,-0.4,3.2,3.1,"52,550",High school diploma or equivalent,Fine motor,Detail oriented,Problem solving and decision making,—
"  Earth drillers, except oil and gas",'47-5023,18.3,18.8,0.5,2.9,3.3,1.7,"59,600",High school diploma or equivalent,Detail oriented,Fine motor,Adaptability,—
"  Explosives workers, ordnance handling experts, and blasters",'47-5032,5.8,5.8,-0.1,-0.9,—,0.5,"59,110",High school diploma or equivalent,Detail oriented,Adaptability,Problem solving and decision making,—
  Continuous mining machine operators,'47-5041,14.9,15.0,0.1,0.6,2.8,1.6,"63,380",No formal educational credential,Detail oriented,Problem solving and decision making,Fine motor,—
"  Roof bolters, mining",'47-5043,2.3,1.5,-0.8,-34.2,2.8,0.1,"76,640",High school diploma or equivalent,Detail oriented,Fine motor,Physical strength and stamina,—
"  Loading and moving machine operators, underground mining",'47-5044,6.4,5.0,-1.4,-22.3,2.8,0.5,"68,860",No formal educational credential,Detail oriented,Fine motor,Adaptability,—
"  Underground mining machine operators, all other[2]",'47-5049,3.6,3.4,-0.2,-6.1,2.8,0.4,"67,220",No formal educational credential,Detail oriented,Fine motor,Adaptability,—
"  Rock splitters, quarry",'47-5051,3.2,3.4,0.1,4.4,3.3,0.4,"47,460",No formal educational credential,Detail oriented,Physical strength and stamina,Fine motor,—
"  Roustabouts, oil and gas",'47-5071,46.0,47.1,1.1,2.5,1.4,4.3,"47,510",No formal educational credential,Detail oriented,Problem solving and decision making,Leadership,OOH Content
  Helpers--extraction workers,'47-5081,7.0,6.9,-0.1,-1.7,3.3,0.7,"48,400",High school diploma or equivalent,Detail oriented,Mechanical,Fine motor,—
"  Extraction workers, all other[2]",'47-5099,6.3,6.4,0.1,1.4,3.3,0.7,"50,110",High school diploma or equivalent,Detail oriented,Problem solving and decision making,Fine motor,—
"  First-line supervisors of mechanics, installers, and repairers",'49-1011,617.5,636.5,19.1,3.1,0.3,52.4,"78,300",High school diploma or equivalent,Leadership,Adaptability,Problem solving and decision making,—
"  Computer, automated teller, and office machine repairers",'49-2011,79.1,78.4,-0.7,-0.9,6.2,7.6,"46,860","Some college, no degree",Problem solving and decision making,Adaptability,Computers and information technology,—
"  Radio, cellular, and tower equipment installers and repairers",'49-2021,11.7,12.7,1.0,8.6,1.7,1.2,"64,190",Associate's degree,Adaptability,Detail oriented,Computers and information technology,OOH Content
"  Telecommunications equipment installers and repairers, except line installers",'49-2022,156.9,150.4,-6.6,-4.2,1.9,13.2,"62,630",Postsecondary nondegree award,Problem solving and decision making,Adaptability,Computers and information technology,OOH Content
  Avionics technicians,'49-2091,21.4,23.1,1.7,8.2,—,1.8,"81,390",Postsecondary nondegree award,Detail oriented,Adaptability,Computers and information technology,OOH Content
"  Electric motor, power tool, and related repairers",'49-2092,17.1,17.7,0.6,3.4,1.8,1.7,"53,990",High school diploma or equivalent,Detail oriented,Mechanical,Adaptability,OOH Content
"  Electrical and electronics installers and repairers, transportation equipment",'49-2093,7.0,7.4,0.4,6.1,—,0.6,"82,730",Postsecondary nondegree award,Detail oriented,Adaptability,Fine motor,OOH Content
"  Electrical and electronics repairers, commercial and industrial equipment",'49-2094,61.1,60.7,-0.5,-0.8,—,4.7,"71,300",Postsecondary nondegree award,Detail oriented,Computers and information technology,Adaptability,OOH Content
"  Electrical and electronics repairers, powerhouse, substation, and relay",'49-2095,23.4,24.7,1.3,5.5,—,2.0,"100,940",Postsecondary nondegree award,Detail oriented,Adaptability,Problem solving and decision making,OOH Content
"  Electronic equipment installers and repairers, motor vehicles",'49-2096,10.3,8.9,-1.4,-13.6,—,0.6,"47,940",High school diploma or equivalent,Detail oriented,Adaptability,Problem solving and decision making,OOH Content
  Audiovisual equipment installers and repairers,'49-2097,24.6,26.3,1.6,6.6,8.4,2.6,"50,620",Postsecondary nondegree award,Computers and information technology,Adaptability,Detail oriented,—
  Security and fire alarm systems installers,'49-2098,85.9,94.9,8.9,10.4,5.5,9.4,"59,300",High school diploma or equivalent,Adaptability,Detail oriented,Problem solving and decision making,—
  Aircraft mechanics and service technicians,'49-3011,139.4,145.0,5.6,4.0,—,11.3,"78,680",Postsecondary nondegree award,Detail oriented,Problem solving and decision making,Mechanical,OOH Content
  Automotive body and related repairers,'49-3021,172.6,175.4,2.8,1.6,9.9,14.6,"51,680",High school diploma or equivalent,Detail oriented,Adaptability,Fine motor,OOH Content
  Automotive glass installers and repairers,'49-3022,20.4,21.1,0.7,3.6,7.2,1.4,"47,260",High school diploma or equivalent,Detail oriented,Adaptability,Customer service,OOH Content
  Automotive service technicians and mechanics,'49-3023,805.6,839.2,33.6,4.2,13.8,70.0,"49,670",Postsecondary nondegree award,Detail oriented,Problem solving and decision making,Fine motor,OOH Content
  Bus and truck mechanics and diesel engine specialists,'49-3031,319.9,327.7,7.8,2.4,6.8,26.5,"60,640",High school diploma or equivalent,Detail oriented,Mechanical,Fine motor,OOH Content
  Farm equipment mechanics and service technicians,'49-3041,39.0,43.3,4.3,11.0,3.4,3.7,"52,080",High school diploma or equivalent,Fine motor,Detail oriented,Mechanical,OOH Content
"  Mobile heavy equipment mechanics, except engines",'49-3042,188.7,199.6,10.9,5.8,3.2,16.5,"63,980",High school diploma or equivalent,Mechanical,Detail oriented,Fine motor,OOH Content
  Rail car repairers,'49-3043,17.9,18.4,0.5,2.8,3.3,1.5,"65,680",High school diploma or equivalent,Fine motor,Detail oriented,Mechanical,OOH Content
  Motorboat mechanics and service technicians,'49-3051,26.2,27.8,1.6,6.0,7.9,2.6,"54,950",High school diploma or equivalent,Detail oriented,Mechanical,Problem solving and decision making,OOH Content
  Motorcycle mechanics,'49-3052,14.9,15.7,0.8,5.3,8.0,1.5,"47,200",Postsecondary nondegree award,Detail oriented,Adaptability,Problem solving and decision making,OOH Content
  Outdoor power equipment and other small engine mechanics,'49-3053,36.9,37.8,0.9,2.5,7.6,3.5,"46,560",High school diploma or equivalent,Fine motor,Adaptability,Detail oriented,OOH Content
  Bicycle repairers,'49-3091,13.2,12.9,-0.3,-2.3,5.0,1.6,"40,360",High school diploma or equivalent,Adaptability,Customer service,Detail oriented,—
