2024 National Employment Matrix title,2024 National Employment Matrix code,Occupation type,"Employment, 2024","Employment, 2034","Employment distribution, percent, 2024","Employment distribution, percent, 2034","Employment change, numeric, 2024–34","Employment change, percent, 2024–34","Percent self employed, 2024","Occupational openings, 2024–34 annual average","Median annual wage, dollars, 2024[1]",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation,Related Occupational Outlook Handbook (OOH) content xlsx,
"        Mobile heavy equipment mechanics, except engines",'49-3042,Line item,188.7,199.6,0.1,0.1,10.9,5.8,3.2,16.5,"63,980",High school diploma or equivalent,None,Long-term on-the-job training,OOH Content,
        Rail car repairers,'49-3043,Line item,17.9,18.4,0.0,0.0,0.5,2.8,3.3,1.5,"65,680",High school diploma or equivalent,None,Long-term on-the-job training,OOH Content,
      Small engine mechanics,'49-3050,Summary,78.0,81.3,0.0,0.0,3.3,4.2,7.8,7.6,"48,240",—,—,—,—,
        Motorboat mechanics and service technicians,'49-3051,Line item,26.2,27.8,0.0,0.0,1.6,6.0,7.9,2.6,"54,950",High school diploma or equivalent,None,Long-term on-the-job training,OOH Content,
        Motorcycle mechanics,'49-3052,Line item,14.9,15.7,0.0,0.0,0.8,5.3,8.0,1.5,"47,200",Postsecondary nondegree award,None,Short-term on-the-job training,OOH Content,
        Outdoor power equipment and other small engine mechanics,'49-3053,Line item,36.9,37.8,0.0,0.0,0.9,2.5,7.6,3.5,"46,560",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
"      Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",'49-3090,Summary,146.2,154.6,0.1,0.1,8.4,5.8,5.0,19.7,"37,960",—,—,—,—,
        Bicycle repairers,'49-3091,Line item,13.2,12.9,0.0,0.0,-0.3,-2.3,5.0,1.6,"40,360",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
        Recreational vehicle service technicians,'49-3092,Line item,19.5,21.7,0.0,0.0,2.2,11.5,5.1,2.8,"50,540",High school diploma or equivalent,None,Long-term on-the-job training,—,
        Tire repairers and changers,'49-3093,Line item,113.4,119.9,0.1,0.1,6.5,5.7,5.0,15.3,"37,120",High school diploma or equivalent,None,Short-term on-the-job training,—,
"    Other installation, maintenance, and repair occupations",'49-9000,Summary,"3,449.3","3,647.3",2.0,2.1,198.1,5.7,3.1,337.4,"54,790",—,—,—,—,
      Control and valve installers and repairers,'49-9010,Summary,76.1,80.0,0.0,0.0,3.9,5.1,—,6.6,"61,600",—,—,—,—,
        Mechanical door repairers,'49-9011,Line item,28.4,31.7,0.0,0.0,3.2,11.4,—,2.7,"51,050",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
"        Control and valve installers and repairers, except mechanical door",'49-9012,Line item,47.7,48.3,0.0,0.0,0.6,1.3,—,3.9,"74,690",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
"      Heating, air conditioning, and refrigeration mechanics and installers",'49-9021,Line item,425.2,459.7,0.3,0.3,34.5,8.1,4.8,40.1,"59,810",Postsecondary nondegree award,None,Long-term on-the-job training,OOH Content,
      Home appliance repairers,'49-9031,Line item,37.3,38.3,0.0,0.0,1.0,2.6,14.7,3.1,"49,410",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
"      Industrial machinery installation, repair, and maintenance workers",'49-9040,Summary,539.4,608.4,0.3,0.3,69.0,12.8,1.4,54.2,"63,500",—,—,—,—,
        Industrial machinery mechanics,'49-9041,Line item,439.6,510.3,0.3,0.3,70.7,16.1,1.7,45.7,"63,760",High school diploma or equivalent,None,Long-term on-the-job training,OOH Content,
"        Maintenance workers, machinery",'49-9043,Line item,57.5,55.9,0.0,0.0,-1.6,-2.8,—,4.8,"60,500",High school diploma or equivalent,None,Long-term on-the-job training,OOH Content,
        Millwrights,'49-9044,Line item,41.3,41.3,0.0,0.0,0.0,0.0,—,3.6,"65,170",High school diploma or equivalent,None,Apprenticeship,OOH Content,
"        Refractory materials repairers, except brickmasons",'49-9045,Line item,1.1,0.9,0.0,0.0,-0.2,-16.9,—,0.1,"58,540",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
      Line installers and repairers,'49-9050,Summary,227.3,232.6,0.1,0.1,5.4,2.4,1.4,19.6,"81,110",—,—,—,—,
        Electrical power-line installers and repairers,'49-9051,Line item,127.4,135.8,0.1,0.1,8.4,6.6,1.4,10.7,"92,560",High school diploma or equivalent,None,Long-term on-the-job training,OOH Content,
        Telecommunications line installers and repairers,'49-9052,Line item,99.9,96.8,0.1,0.1,-3.1,-3.1,1.3,8.9,"70,500",High school diploma or equivalent,None,Long-term on-the-job training,OOH Content,
      Precision instrument and equipment repairers,'49-9060,Summary,88.7,97.5,0.1,0.1,8.7,9.8,9.2,9.1,"61,430",—,—,—,—,
        Camera and photographic equipment repairers,'49-9061,Line item,2.3,1.9,0.0,0.0,-0.3,-15.1,8.7,0.2,"49,300",High school diploma or equivalent,None,Long-term on-the-job training,—,
        Medical equipment repairers,'49-9062,Line item,68.0,76.8,0.0,0.0,8.8,12.9,9.4,7.3,"62,630",Associate's degree,None,Moderate-term on-the-job training,OOH Content,
        Musical instrument repairers and tuners,'49-9063,Line item,6.2,6.3,0.0,0.0,0.1,1.4,9.8,0.6,"45,320",High school diploma or equivalent,None,Apprenticeship,—,
        Watch and clock repairers,'49-9064,Line item,1.4,1.4,0.0,0.0,0.0,-1.1,9.8,0.1,"60,690",High school diploma or equivalent,None,Long-term on-the-job training,—,
"        Precision instrument and equipment repairers, all other",'49-9069,Line item,10.8,11.0,0.0,0.0,0.2,2.0,7.7,1.0,"67,080",High school diploma or equivalent,None,Long-term on-the-job training,—,
"      Maintenance and repair workers, general",'49-9071,Line item,"1,629.7","1,692.1",1.0,1.0,62.4,3.8,1.1,159.8,"48,620",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
      Wind turbine service technicians,'49-9081,Line item,13.6,20.5,0.0,0.0,6.8,49.9,16.7,2.3,"62,580",Postsecondary nondegree award,None,Long-term on-the-job training,OOH Content,
"      Miscellaneous installation, maintenance, and repair workers",'49-9090,Summary,411.8,418.4,0.2,0.2,6.6,1.6,10.5,42.6,"46,970",—,—,—,—,
"        Coin, vending, and amusement machine servicers and repairers",'49-9091,Line item,32.5,31.6,0.0,0.0,-0.9,-2.9,11.5,3.5,"47,350",High school diploma or equivalent,None,Short-term on-the-job training,—,
        Commercial divers,'49-9092,Line item,4.2,4.5,0.0,0.0,0.4,8.5,16.6,0.4,"61,130",Postsecondary nondegree award,None,Moderate-term on-the-job training,—,
        Locksmiths and safe repairers,'49-9094,Line item,18.8,17.2,0.0,0.0,-1.6,-8.3,16.2,1.7,"50,490",High school diploma or equivalent,None,Long-term on-the-job training,—,
        Manufactured building and mobile home installers,'49-9095,Line item,3.1,3.3,0.0,0.0,0.2,5.9,17.0,0.3,"41,080",High school diploma or equivalent,None,Short-term on-the-job training,—,
        Riggers,'49-9096,Line item,24.6,25.4,0.0,0.0,0.8,3.2,—,2.5,"62,060",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
        Signal and track switch repairers,'49-9097,Line item,8.7,8.8,0.0,0.0,0.1,1.7,15.3,0.8,"83,600",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
"        Helpers--installation, maintenance, and repair workers",'49-9098,Line item,98.7,101.0,0.1,0.1,2.2,2.3,—,11.8,"38,860",High school diploma or equivalent,None,Short-term on-the-job training,—,
"        Installation, maintenance, and repair workers, all other",'49-9099,Line item,221.2,226.5,0.1,0.1,5.4,2.4,15.4,21.5,"48,640",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
  Production occupations,'51-0000,Summary,"9,001.2","8,901.6",5.3,5.1,-99.6,-1.1,2.5,963.4,"45,960",—,—,—,—,
    Supervisors of production workers,'51-1000,Summary,698.6,706.9,0.4,0.4,8.3,1.2,1.2,67.7,"71,190",—,—,—,—,
      First-line supervisors of production and operating workers,'51-1011,Line item,698.6,706.9,0.4,0.4,8.3,1.2,1.2,67.7,"71,190",High school diploma or equivalent,Less than 5 years,None,—,
    Assemblers and fabricators,'51-2000,Summary,"1,885.4","1,874.2",1.1,1.1,-11.2,-0.6,0.6,198.8,"43,570",—,—,—,—,
"      Aircraft structure, surfaces, rigging, and systems assemblers",'51-2011,Line item,33.6,28.7,0.0,0.0,-4.9,-14.5,0.7,2.8,"61,680",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
"      Electrical, electronics, and electromechanical assemblers",'51-2020,Summary,273.6,284.7,0.2,0.2,11.1,4.1,—,30.7,"44,210",—,—,—,—,
"        Coil winders, tapers, and finishers",'51-2021,Line item,12.2,11.5,0.0,0.0,-0.8,-6.3,—,1.2,"47,260",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
"        Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers",'51-2028,Line item,261.4,273.3,0.2,0.2,11.9,4.6,—,29.6,"44,040",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
      Engine and other machine assemblers,'51-2031,Line item,38.4,30.3,0.0,0.0,-8.1,-21.1,—,2.8,"52,540",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
      Structural metal fabricators and fitters,'51-2041,Line item,53.8,45.0,0.0,0.0,-8.8,-16.3,0.8,4.1,"49,900",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
      Fiberglass laminators and fabricators,'51-2051,Line item,18.6,19.4,0.0,0.0,0.8,4.2,0.7,2.1,"45,760",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
      Timing device assemblers and adjusters,'51-2061,Line item,0.2,0.2,0.0,0.0,0.0,-17.5,—,0.0,"40,790",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
      Miscellaneous assemblers and fabricators,'51-2090,Line item,"1,467.1","1,465.9",0.9,0.8,-1.3,-0.1,0.7,156.3,"42,210",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
    Food processing workers,'51-3000,Summary,891.3,931.6,0.5,0.5,40.4,4.5,3.1,121.0,"38,200",—,—,—,—,
      Bakers,'51-3011,Line item,249.1,263.2,0.1,0.2,14.0,5.6,6.2,39.9,"36,650",No formal educational credential,None,Moderate-term on-the-job training,OOH Content,
"      Butchers and other meat, poultry, and fish processing workers",'51-3020,Summary,359.5,370.5,0.2,0.2,11.0,3.1,1.8,43.6,"38,500",—,—,—,—,
        Butchers and meat cutters,'51-3021,Line item,143.1,144.5,0.1,0.1,1.4,1.0,1.8,16.9,"38,960",No formal educational credential,None,Long-term on-the-job training,OOH Content,
"        Meat, poultry, and fish cutters and trimmers",'51-3022,Line item,146.8,154.9,0.1,0.1,8.1,5.5,1.8,18.4,"37,700",No formal educational credential,None,Short-term on-the-job training,—,
        Slaughterers and meat packers,'51-3023,Line item,69.6,71.2,0.0,0.0,1.5,2.2,1.8,8.4,"39,790",No formal educational credential,None,Short-term on-the-job training,—,
      Miscellaneous food processing workers,'51-3090,Summary,282.6,297.9,0.2,0.2,15.3,5.4,2.0,37.5,"40,050",—,—,—,—,
"        Food and tobacco roasting, baking, and drying machine operators and tenders",'51-3091,Line item,20.7,20.8,0.0,0.0,0.1,0.6,8.8,2.4,"42,730",No formal educational credential,None,Moderate-term on-the-job training,OOH Content,
        Food batchmakers,'51-3092,Line item,173.5,185.4,0.1,0.1,11.9,6.9,0.6,24.2,"40,790",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
        Food cooking machine operators and tenders,'51-3093,Line item,29.7,29.9,0.0,0.0,0.2,0.6,6.2,4.4,"40,550",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
"        Food processing workers, all other",'51-3099,Line item,58.7,61.8,0.0,0.0,3.1,5.3,1.7,6.5,"38,420",No formal educational credential,None,Moderate-term on-the-job training,OOH Content,
    Metal workers and plastic workers,'51-4000,Summary,"1,639.4","1,581.5",1.0,0.9,-57.9,-3.5,2.1,153.8,"48,660",—,—,—,—,
"      Forming machine setters, operators, and tenders, metal and plastic",'51-4020,Summary,97.3,94.5,0.1,0.1,-2.7,-2.8,—,9.0,"47,460",—,—,—,—,
"        Extruding and drawing machine setters, operators, and tenders, metal and plastic",'51-4021,Line item,66.0,66.8,0.0,0.0,0.8,1.2,—,6.5,"46,980",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
"        Forging machine setters, operators, and tenders, metal and plastic",'51-4022,Line item,8.8,7.2,0.0,0.0,-1.7,-18.9,—,0.6,"49,240",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
"        Rolling machine setters, operators, and tenders, metal and plastic",'51-4023,Line item,22.5,20.6,0.0,0.0,-1.9,-8.3,—,1.9,"48,630",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
"      Machine tool cutting setters, operators, and tenders, metal and plastic",'51-4030,Summary,282.9,247.7,0.2,0.1,-35.2,-12.4,—,22.9,"45,870",—,—,—,—,
"        Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",'51-4031,Line item,174.7,153.6,0.1,0.1,-21.1,-12.1,—,14.4,"45,590",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
"        Drilling and boring machine tool setters, operators, and tenders, metal and plastic",'51-4032,Line item,5.3,4.3,0.0,0.0,-1.0,-19.6,—,0.4,"46,630",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
"        Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",'51-4033,Line item,70.1,61.7,0.0,0.0,-8.4,-12.0,—,5.5,"45,190",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
"        Lathe and turning machine tool setters, operators, and tenders, metal and plastic",'51-4034,Line item,18.9,16.4,0.0,0.0,-2.6,-13.6,—,1.5,"48,620",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
"        Milling and planing machine setters, operators, and tenders, metal and plastic",'51-4035,Line item,13.8,11.8,0.0,0.0,-2.0,-14.4,—,1.1,"48,310",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
      Machinists,'51-4041,Line item,299.5,299.6,0.2,0.2,0.0,0.0,0.3,29.5,"56,150",High school diploma or equivalent,None,Long-term on-the-job training,OOH Content,
"      Metal furnace operators, tenders, pourers, and casters",'51-4050,Summary,26.7,26.0,0.0,0.0,-0.8,-2.8,1.2,2.6,"54,100",—,—,—,—,
        Metal-refining furnace operators and tenders,'51-4051,Line item,20.8,20.3,0.0,0.0,-0.5,-2.3,1.2,2.0,"55,770",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
"        Pourers and casters, metal",'51-4052,Line item,5.9,5.7,0.0,0.0,-0.3,-4.7,1.2,0.6,"48,940",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
"      Model makers and patternmakers, metal and plastic",'51-4060,Summary,4.8,3.8,0.0,0.0,-1.0,-20.3,—,0.4,"59,530",—,—,—,—,
"        Model makers, metal and plastic",'51-4061,Line item,3.2,2.6,0.0,0.0,-0.6,-18.2,—,0.3,"62,700",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
"        Patternmakers, metal and plastic",'51-4062,Line item,1.6,1.2,0.0,0.0,-0.4,-24.4,—,0.1,"54,540",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
"      Molders and molding machine setters, operators, and tenders, metal and plastic",'51-4070,Summary,167.3,158.2,0.1,0.1,-9.1,-5.5,—,16.8,"41,890",—,—,—,—,
        Foundry mold and coremakers,'51-4071,Line item,12.7,9.4,0.0,0.0,-3.3,-25.9,—,0.9,"45,700",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
"        Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",'51-4072,Line item,154.6,148.8,0.1,0.1,-5.8,-3.8,—,15.9,"41,230",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
"      Multiple machine tool setters, operators, and tenders, metal and plastic",'51-4081,Line item,131.0,130.3,0.1,0.1,-0.7,-0.5,1.1,12.8,"46,060",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
      Tool and die makers,'51-4111,Line item,55.2,49.3,0.0,0.0,-6.0,-10.8,—,4.7,"63,180",Postsecondary nondegree award,None,Long-term on-the-job training,OOH Content,
"      Welding, soldering, and brazing workers",'51-4120,Summary,496.2,502.5,0.3,0.3,6.4,1.3,6.3,48.8,"50,560",—,—,—,—,
"        Welders, cutters, solderers, and brazers",'51-4121,Line item,457.3,467.2,0.3,0.3,9.9,2.2,6.3,45.6,"51,000",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
"        Welding, soldering, and brazing machine setters, operators, and tenders",'51-4122,Line item,38.9,35.4,0.0,0.0,-3.5,-9.0,6.4,3.2,"47,060",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
      Miscellaneous metal workers and plastic workers,'51-4190,Summary,78.4,69.5,0.0,0.0,-8.9,-11.4,1.0,6.4,"45,050",—,—,—,—,
"        Heat treating equipment setters, operators, and tenders, metal and plastic",'51-4191,Line item,14.8,12.9,0.0,0.0,-1.9,-12.8,1.0,1.2,"47,450",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
"        Layout workers, metal and plastic",'51-4192,Line item,5.7,5.4,0.0,0.0,-0.3,-5.4,—,0.5,"61,870",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
"        Plating machine setters, operators, and tenders, metal and plastic",'51-4193,Line item,31.7,27.4,0.0,0.0,-4.3,-13.6,1.0,2.5,"41,600",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
"        Tool grinders, filers, and sharpeners",'51-4194,Line item,5.8,5.4,0.0,0.0,-0.5,-7.8,1.0,0.5,"48,970",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
"        Metal workers and plastic workers, all other",'51-4199,Line item,20.4,18.5,0.0,0.0,-1.9,-9.5,1.0,1.7,"42,750",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
    Printing workers,'51-5100,Summary,212.1,190.4,0.1,0.1,-21.8,-10.3,4.5,19.3,"44,830",—,—,—,—,
      Prepress technicians and workers,'51-5111,Line item,26.2,22.3,0.0,0.0,-3.8,-14.6,12.9,2.8,"47,300",Postsecondary nondegree award,None,None,—,
      Printing press operators,'51-5112,Line item,150.2,138.0,0.1,0.1,-12.2,-8.1,4.2,13.7,"45,160",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
      Print binding and finishing workers,'51-5113,Line item,35.8,30.0,0.0,0.0,-5.8,-16.1,—,2.8,"39,820",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
"    Textile, apparel, and furnishings workers",'51-6000,Summary,520.7,504.2,0.3,0.3,-16.5,-3.2,9.6,66.8,"35,580",—,—,—,—,
      Laundry and dry-cleaning workers,'51-6011,Line item,202.6,213.5,0.1,0.1,10.9,5.4,2.3,31.9,"33,800",No formal educational credential,None,Short-term on-the-job training,—,
"      Pressers, textile, garment, and related materials",'51-6021,Line item,28.4,24.6,0.0,0.0,-3.8,-13.5,—,2.8,"33,880",No formal educational credential,None,Short-term on-the-job training,—,
      Sewing machine operators,'51-6031,Line item,124.0,110.7,0.1,0.1,-13.3,-10.8,11.2,13.0,"36,000",No formal educational credential,None,Short-term on-the-job training,—,
      Shoe and leather workers,'51-6040,Summary,13.6,13.1,0.0,0.0,-0.5,-3.8,19.1,1.3,"36,460",—,—,—,—,
        Shoe and leather workers and repairers,'51-6041,Line item,9.5,9.1,0.0,0.0,-0.4,-3.8,19.1,0.9,"35,950",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
        Shoe machine operators and tenders,'51-6042,Line item,4.1,3.9,0.0,0.0,-0.2,-3.7,19.0,0.4,"38,160",High school diploma or equivalent,None,Short-term on-the-job training,—,
"      Tailors, dressmakers, and sewers",'51-6050,Summary,44.2,42.1,0.0,0.0,-2.1,-4.8,57.4,5.6,"39,590",—,—,—,—,
"        Sewers, hand",'51-6051,Line item,5.4,5.0,0.0,0.0,-0.4,-7.0,57.2,0.7,"33,760",No formal educational credential,None,Moderate-term on-the-job training,—,
"        Tailors, dressmakers, and custom sewers",'51-6052,Line item,38.8,37.1,0.0,0.0,-1.7,-4.5,57.4,5.0,"40,860",No formal educational credential,None,Moderate-term on-the-job training,—,
"      Textile machine setters, operators, and tenders",'51-6060,Summary,52.5,47.1,0.0,0.0,-5.4,-10.2,2.4,5.9,"37,800",—,—,—,—,
        Textile bleaching and dyeing machine operators and tenders,'51-6061,Line item,6.2,5.5,0.0,0.0,-0.6,-10.1,2.4,0.7,"37,320",High school diploma or equivalent,None,Short-term on-the-job training,—,
"        Textile cutting machine setters, operators, and tenders",'51-6062,Line item,9.3,8.2,0.0,0.0,-1.1,-11.7,2.4,1.0,"37,940",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
"        Textile knitting and weaving machine setters, operators, and tenders",'51-6063,Line item,15.3,13.6,0.0,0.0,-1.7,-11.2,2.4,1.7,"38,260",High school diploma or equivalent,None,Short-term on-the-job training,—,
"        Textile winding, twisting, and drawing out machine setters, operators, and tenders",'51-6064,Line item,21.7,19.8,0.0,0.0,-1.9,-9.0,2.4,2.5,"37,660",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
"      Miscellaneous textile, apparel, and furnishings workers",'51-6090,Summary,55.4,53.1,0.0,0.0,-2.2,-4.0,3.8,6.3,"43,670",—,—,—,—,
"        Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",'51-6091,Line item,15.2,15.0,0.0,0.0,-0.2,-1.1,—,2.0,"44,980",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
        Fabric and apparel patternmakers,'51-6092,Line item,2.8,2.5,0.0,0.0,-0.3,-10.2,—,0.3,"67,670",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
        Upholsterers,'51-6093,Line item,22.7,22.3,0.0,0.0,-0.4,-1.8,9.2,2.2,"46,190",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
"        Textile, apparel, and furnishings workers, all other",'51-6099,Line item,14.7,13.3,0.0,0.0,-1.4,-9.4,—,1.7,"37,010",High school diploma or equivalent,None,Short-term on-the-job training,—,
    Woodworkers,'51-7000,Summary,233.5,229.3,0.1,0.1,-4.3,-1.8,11.7,23.3,"43,640",—,—,—,—,
      Cabinetmakers and bench carpenters,'51-7011,Line item,86.0,84.7,0.1,0.0,-1.4,-1.6,9.0,8.1,"46,020",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
      Furniture finishers,'51-7021,Line item,20.5,19.8,0.0,0.0,-0.7,-3.3,32.0,2.0,"42,530",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content,
"      Model makers and patternmakers, wood",'51-7030,Summary,1.4,1.3,0.0,0.0,-0.1,-4.6,57.9,0.1,"51,920",—,—,—,—,
"        Model makers, wood",'51-7031,Line item,0.9,0.9,0.0,0.0,0.0,-4.5,57.8,0.1,"51,850",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
"        Patternmakers, wood",'51-7032,Line item,0.5,0.4,0.0,0.0,0.0,-5.0,58.1,0.0,"52,520",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
"      Woodworking machine setters, operators, and tenders",'51-7040,Summary,108.0,106.6,0.1,0.1,-1.4,-1.3,1.6,11.2,"40,300",—,—,—,—,
"        Sawing machine setters, operators, and tenders, wood",'51-7041,Line item,45.0,44.7,0.0,0.0,-0.3,-0.6,3.8,4.8,"39,950",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
"        Woodworking machine setters, operators, and tenders, except sawing",'51-7042,Line item,63.1,61.9,0.0,0.0,-1.1,-1.8,—,6.4,"40,440",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
"      Woodworkers, all other",'51-7099,Line item,17.6,16.8,0.0,0.0,-0.8,-4.4,59.5,1.8,"41,220",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
    Plant and system operators,'51-8000,Summary,297.9,282.0,0.2,0.2,-15.9,-5.3,0.8,25.8,"70,740",—,—,—,—,
"      Power plant operators, distributors, and dispatchers",'51-8010,Summary,46.6,41.9,0.0,0.0,-4.7,-10.1,—,3.8,"103,600",—,—,—,—,
        Nuclear power reactor operators,'51-8011,Line item,5.7,4.9,0.0,0.0,-0.9,-15.3,—,0.4,"122,610",High school diploma or equivalent,None,Long-term on-the-job training,OOH Content,
        Power distributors and dispatchers,'51-8012,Line item,9.3,9.0,0.0,0.0,-0.3,-3.2,—,0.8,"107,240",High school diploma or equivalent,None,Long-term on-the-job training,OOH Content,
        Power plant operators,'51-8013,Line item,31.6,28.0,0.0,0.0,-3.5,-11.2,—,2.5,"99,670",High school diploma or equivalent,None,Long-term on-the-job training,OOH Content,
      Stationary engineers and boiler operators,'51-8021,Line item,33.3,34.0,0.0,0.0,0.7,2.2,3.1,3.8,"75,190",High school diploma or equivalent,None,Long-term on-the-job training,OOH Content,
      Water and wastewater treatment plant and system operators,'51-8031,Line item,132.4,123.8,0.1,0.1,-8.7,-6.5,1.1,10.7,"58,260",High school diploma or equivalent,None,Long-term on-the-job training,OOH Content,
      Miscellaneous plant and system operators,'51-8090,Summary,85.6,82.3,0.1,0.0,-3.2,-3.8,—,7.6,"81,930",—,—,—,—,
        Chemical plant and system operators,'51-8091,Line item,18.1,17.0,0.0,0.0,-1.1,-6.1,—,1.6,"73,540",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
        Gas plant operators,'51-8092,Line item,16.2,14.8,0.0,0.0,-1.4,-8.8,—,1.3,"83,400",High school diploma or equivalent,None,Long-term on-the-job training,—,
"        Petroleum pump system operators, refinery operators, and gaugers",'51-8093,Line item,34.9,34.0,0.0,0.0,-1.0,-2.8,—,3.2,"97,540",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
"        Plant and system operators, all other",'51-8099,Line item,16.3,16.6,0.0,0.0,0.3,1.6,—,1.6,"61,710",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
    Other production occupations,'51-9000,Summary,"2,622.3","2,601.5",1.5,1.5,-20.8,-0.8,2.1,286.9,"45,970",—,—,—,—,
"      Chemical processing machine setters, operators, and tenders",'51-9010,Summary,183.2,185.2,0.1,0.1,1.9,1.0,0.4,19.8,"54,110",—,—,—,—,
        Chemical equipment operators and tenders,'51-9011,Line item,128.9,133.1,0.1,0.1,4.3,3.3,0.4,14.4,"57,090",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
"        Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",'51-9012,Line item,54.4,52.0,0.0,0.0,-2.3,-4.3,0.4,5.4,"49,500",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
"      Crushing, grinding, polishing, mixing, and blending workers",'51-9020,Summary,141.5,131.5,0.1,0.1,-10.1,-7.1,—,12.3,"47,110",—,—,—,—,
"        Crushing, grinding, and polishing machine setters, operators, and tenders",'51-9021,Line item,28.7,27.9,0.0,0.0,-0.7,-2.5,—,2.7,"46,890",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
"        Grinding and polishing workers, hand",'51-9022,Line item,11.8,9.3,0.0,0.0,-2.5,-21.2,—,0.8,"41,690",No formal educational credential,None,Moderate-term on-the-job training,—,
"        Mixing and blending machine setters, operators, and tenders",'51-9023,Line item,101.1,94.3,0.1,0.1,-6.8,-6.8,—,8.8,"47,680",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
      Cutting workers,'51-9030,Summary,56.0,53.6,0.0,0.0,-2.4,-4.3,3.3,5.9,"45,140",—,—,—,—,
"        Cutters and trimmers, hand",'51-9031,Line item,7.0,5.7,0.0,0.0,-1.3,-18.1,3.4,0.6,"38,800",No formal educational credential,None,Short-term on-the-job training,—,
